point,geometry,type,links,length_m,elevation_m
AJ_Agriculture,POINT (216008.8325629578 1186231.039039058),Demand site,Transmission Link from Kufranja Dam to AJ_Agriculture,3578.960052876708,752.0
AJ_Agriculture,POINT (216008.8325629578 1186231.039039058),Demand site,Transmission Link from WWTP_Kufranja to AJ_Agriculture,5639.331471444151,752.0
AJ_Agriculture,POINT (216008.8325629578 1186231.039039058),Demand site,Transmission Link from GW_SideWadis_A7B2 to AJ_Agriculture,9762.93247471622,752.0
AJ_ROU Ajloun,POINT (219457.3686109596 1195360.041666065),Demand site,Transmission Link from Kufranja Dam to AJ_ROU Ajloun,11625.067807277477,939.0
AJ_ROU Ajloun,POINT (219457.3686109596 1195360.041666065),Demand site,Transmission Link from PS_Ajloun2AJ_ROU to AJ_ROU Ajloun,4150.820730771219,939.0
AMMAN_Industry,POINT (261505.7247425594 1128195.803400242),Demand site,Transmission Link from GW_AmmanZarqa_A7B2 to AMMAN_Industry,22151.337603136042,809.0
AM_Agriculture,POINT (253013.9707354248 1125316.768323713),Demand site,Transmission Link from WWTP_Al Jiza to AM_Agriculture,14854.192850635054,760.0
AM_Agriculture,POINT (253013.9707354248 1125316.768323713),Demand site,Transmission Link from WWTP Wadi Seer to AM_Agriculture,33713.1903477223,760.0
AM_Agriculture,POINT (253013.9707354248 1125316.768323713),Demand site,Transmission Link from GW_AmmanZarqa_A7B2 to AM_Agriculture,27101.84945578839,760.0
AM_Al Jiza,POINT (258846.2352632692 1114060.670923017),Demand site,Transmission Link from PL_KarakAmman2AM_Jiza to AM_Al Jiza,15634.126646238381,729.0
AM_Mwaqqar,POINT (266678.0291700326 1135667.03110088),Demand site,Transmission Link from PL_KarakAmman2AM_SahabMqar to AM_Mwaqqar,29661.317474452535,773.0
AM_Mwaqqar,POINT (266678.0291700326 1135667.03110088),Demand site,Transmission Link from GW_Azraq_A7B2 to AM_Mwaqqar,28959.550352971863,773.0
AM_SZ01,POINT (237969.2370738269 1153770.308698562),Demand site,Transmission Link from PS_ZaraMain2AM_SZ01 to AM_SZ01,8835.18095533554,886.0
AM_SZ01,POINT (237969.2370738269 1153770.308698562),Demand site,Transmission Link from GW_AmmanZarqa_A7B2 to AM_SZ01,25585.168943221288,886.0
AM_SZ01,POINT (237969.2370738269 1153770.308698562),Demand site,Transmission Link from PSAinGhazal2AM_SZ01 to AM_SZ01,8790.924292635225,886.0
AM_SZ02,POINT (240298.4783035813 1150345.029473321),Demand site,Transmission Link from PS_ZaraMain2AM_SZ02 to AM_SZ02,4754.73343136427,790.0
AM_SZ02,POINT (240298.4783035813 1150345.029473321),Demand site,Transmission Link from PS_AinGhasal_SZ022AM_SZ02 to AM_SZ02,5389.752220247414,790.0
AM_SZ02,POINT (240298.4783035813 1150345.029473321),Demand site,Transmission Link from PSAinGhazal2AM_SZ02 to AM_SZ02,4500.387567196257,790.0
AM_SZ03,POINT (238045.8893230199 1140464.422826514),Demand site,Transmission Link from PL_KarakAmman2AM_SZ03_Outflow to AM_SZ03,4517.381070978646,901.0
AM_SZ03,POINT (238045.8893230199 1140464.422826514),Demand site,Transmission Link from GW_DeadSea_A1A6 to AM_SZ03,21022.22495009438,901.0
AM_SZ04,POINT (248586.0557239345 1147377.047504818),Demand site,Transmission Link from PS_AbuAlanda2AM_SZ04 to AM_SZ04,3513.1832392284573,817.0
AM_SZ04,POINT (248586.0557239345 1147377.047504818),Demand site,Transmission Link from GW_AmmanZarqa_A7B2 to AM_SZ04,15002.770410539466,817.0
AM_SZ05,POINT (233726.0579231152 1151639.082138401),Demand site,Transmission Link from PS_ZaraMain2AM_SZ05 to AM_SZ05,8299.376071404504,921.0
AM_SZ05,POINT (233726.0579231152 1151639.082138401),Demand site,Transmission Link from GW_AmmanZarqa_A7B2 to AM_SZ05,29611.956682340675,921.0
AM_SZ05,POINT (233726.0579231152 1151639.082138401),Demand site,Transmission Link from PL_Dabouq_AinGh2AM_SZ05 to AM_SZ05,5760.1625543597265,921.0
AM_SZ06,POINT (229814.3716280835 1145430.709559187),Demand site,Transmission Link from PL_KarakAmman2AM_SZ06 to AM_SZ06,1559.8900972420706,927.0
AM_SZ07,POINT (236992.9250383438 1162321.767919188),Demand site,Transmission Link from PL_Dabouq_AinGhazal2AM_SZ07 to AM_SZ07,4522.220072778301,870.0
AM_SZ07,POINT (236992.9250383438 1162321.767919188),Demand site,Transmission Link from GW_AmmanZarqa_A1A6 to AM_SZ07,22487.00443463144,870.0
AM_SZ08,POINT (242821.5354663821 1155725.823454879),Demand site,Transmission Link from PSAinGhazal2AM_SZ08 to AM_SZ08,5142.919374641489,686.0
AM_SZ09,POINT (226781.0727298619 1148201.170539954),Demand site,Transmission Link from GW_SideWadis_A7B2 to AM_SZ09,48627.70859611059,755.0
AM_UmBasateyn,POINT (232471.2215894676 1133007.783500025),Demand site,Transmission Link from PL_KarakAm2AM_UmAlBas to AM_UmBasateyn,3454.25444210621,798.0
AQABA_Ind_Fertilizer,POINT (153593.6048742169 867035.8820873577),Demand site,Transmission Link from WWTP_Aqaba to AQABA_Ind_Fertilizer,6468.270302540218,463.0
AQABA_Industry,POINT (158045.3763536058 874788.5574671566),Demand site,Transmission Link from GW_Southern Desert_Ram to AQABA_Industry,61454.2680480774,690.0
AQ_Agri,POINT (207650.0928991904 909596.7492401184),Demand site,Transmission Link from GW_Southern Desert_Ram to AQ_Agri,30735.626555334366,1036.0
AQ_Al Quwayra,POINT (192111.5458619832 910874.6113747223),Demand site,Transmission Link from PL_DisiAq2AQ_AqQuw to AQ_Al Quwayra,11588.754964127485,867.0
AQ_QAqaba,POINT (151704.0835073378 876003.8437253693),Demand site,Transmission Link from Aqaba Desal to AQ_QAqaba,4950.125490114714,342.0
AQ_QAqaba,POINT (151704.0835073378 876003.8437253693),Demand site,Transmission Link from RedDead to AQ_QAqaba,10740.706485413604,342.0
AQ_QAqaba,POINT (151704.0835073378 876003.8437253693),Demand site,Transmission Link from PL_DisiAq2AQ_AqQuw to AQ_QAqaba,57043.750832325655,342.0
BALQA_Industry,POINT (212451.0028880372 1170441.518621281),Demand site,Transmission Link from GW_SideWadis_A1A6 to BALQA_Industry,5196.427949261627,305.0
BQ_AgriHL,POINT (222323.9663344806 1169871.452191536),Demand site,Transmission Link from WWTP_Fuhais to BQ_AgriHL,18677.30994131913,682.0
BQ_AgriHL,POINT (222323.9663344806 1169871.452191536),Demand site,Transmission Link from WWTP_Salt to BQ_AgriHL,14800.549837927703,682.0
BQ_AgriHL,POINT (222323.9663344806 1169871.452191536),Demand site,Transmission Link from GW_SideWadis_A1A6 to BQ_AgriHL,10367.515347716355,682.0
BQ_AgriHL,POINT (222323.9663344806 1169871.452191536),Demand site,Transmission Link from WWTP_Al Baqa to BQ_AgriHL,5037.773198587951,682.0
BQ_AgriHL,POINT (222323.9663344806 1169871.452191536),Demand site,Transmission Link from GW_AmmanZarqa_A1A6 to BQ_AgriHL,14946.412610563173,682.0
BQ_AgriJV,POINT (205401.2797396887 1163094.149657063),Demand site,Transmission Link from WadiKafrein2BQ_AgriJV to BQ_AgriJV,23526.553307747763,-278.0
BQ_AgriJV,POINT (205401.2797396887 1163094.149657063),Demand site,Transmission Link from WadiShueib2BQ_AgriJV to BQ_AgriJV,14492.362979086456,-278.0
BQ_AgriJV,POINT (205401.2797396887 1163094.149657063),Demand site,Transmission Link from GW_JordanValley_Alluvium to BQ_AgriJV,6203.913203435487,-278.0
BQ_AgriJV,POINT (205401.2797396887 1163094.149657063),Demand site,Transmission Link from KAC2BQ_AgriJV to BQ_AgriJV,4162.310629872368,-278.0
BQ_Ain Al Basha,POINT (227805.5979691667 1167512.692040088),Demand site,Transmission Link from PS_AbuNus2BQ_AinBasha to BQ_Ain Al Basha,3952.503433386553,757.0
BQ_Deir Alla,POINT (206826.8983029009 1167051.483199393),Demand site,Transmission Link from Karamah dam to BQ_Deir Alla,5035.324226674253,-256.0
BQ_Deir Alla,POINT (206826.8983029009 1167051.483199393),Demand site,Transmission Link from PS_DairAllaDistrict2BQ_DeirAlla to BQ_Deir Alla,3258.7399529356153,-256.0
BQ_Mahis Fuhais,POINT (225078.7020419876 1156726.174251984),Demand site,Transmission Link from PS_AinAlAzraq2BQ_MahisFuhais to BQ_Mahis Fuhais,4596.801282038209,1001.0
BQ_ROU_Salt,POINT (213642.2648176214 1154225.170572897),Demand site,Transmission Link from PS_Salt2BQ_ROUSalt to BQ_ROU_Salt,3618.5800757331285,518.0
BQ_ShJanoubia,POINT (205202.8741361997 1142000.99934625),Demand site,Transmission Link from ZM2BQShJan to BQ_ShJanoubia,6512.77570365728,-304.0
BQ_ShJanoubia,POINT (205202.8741361997 1142000.99934625),Demand site,Transmission Link from PS_ShJan2BQ_ShJanou to BQ_ShJanoubia,3097.088979315146,-304.0
IRBID_Industry,POINT (220762.8944622203 1228638.418911483),Demand site,Transmission Link from GW_Yarmouk_A7B2 to IRBID_Industry,8672.422364456073,340.0
IR_AgriHL,POINT (234795.6975432695 1225619.523240124),Demand site,Transmission Link from WWTP_Wadi Hassan to IR_AgriHL,11375.43828766153,488.0
IR_AgriHL,POINT (234795.6975432695 1225619.523240124),Demand site,Transmission Link from WWTP_Wadi Sh to IR_AgriHL,6184.599694525506,488.0
IR_AgriHL,POINT (234795.6975432695 1225619.523240124),Demand site,Transmission Link from GW_Yarmouk_A7B2 to IR_AgriHL,7635.561774402573,488.0
IR_AgriJV,POINT (206274.8121403389 1202514.998910339),Demand site,Transmission Link from ZC32IR_AgriJV to IR_AgriJV,4173.064899242349,-116.0
IR_AgriJV,POINT (206274.8121403389 1202514.998910339),Demand site,Transmission Link from KAC2IR_AgriJV to IR_AgriJV,2888.6059395110733,-116.0
IR_AgriJV,POINT (206274.8121403389 1202514.998910339),Demand site,Transmission Link from WWTP_Irbid Central to IR_AgriJV,35917.93421720662,-116.0
IR_AgriJV,POINT (206274.8121403389 1202514.998910339),Demand site,Transmission Link from WWTP_Wadi Arab to IR_AgriJV,24858.41393612847,-116.0
IR_Al Aghwar Sh,POINT (208475.9537064981 1218481.807143343),Demand site,Transmission Link from GW_SideWadis_A7B2 to IR_Al Aghwar Sh,24764.449942534193,-124.0
IR_Al Aghwar Sh,POINT (208475.9537064981 1218481.807143343),Demand site,Transmission Link from PL_WadiAIr2IR_AghwarShm to IR_Al Aghwar Sh,6997.725300962122,-124.0
IR_Bani Kinana,POINT (221146.4966888945 1233908.413307943),Demand site,Transmission Link from PL_BaniKinana2IR_BaniKinana to IR_Bani Kinana,6491.456081302461,385.0
IR_Bani Obeid,POINT (236178.2160107292 1212384.162341111),Demand site,Transmission Link from Withdrawal Node 4 to IR_Bani Obeid,2258.304782820126,569.0
IR_Bani Obeid,POINT (236178.2160107292 1212384.162341111),Demand site,Transmission Link from GW_Yarmouk_A7B2 to IR_Bani Obeid,13874.535974847207,569.0
IR_Koura,POINT (210937.9279128382 1209993.365254212),Demand site,Transmission Link from GW_SideWadis_A7B2 to IR_Koura,16282.288848219885,304.0
IR_RC_C City,POINT (247154.5068721417 1212507.589114216),Demand site,Transmission Link from PL_ZatariRam2IR_RC_CCity to IR_RC_C City,2386.7188944254713,552.0
IR_RC_KAP,POINT (246691.7448202014 1214992.810495079),Demand site,Transmission Link from PL_ZatariRamtha2IR_RC_KAPark to IR_RC_KAP,1381.9288427934036,528.0
IR_ROU_Irbid,POINT (228861.1676088313 1218829.385948326),Demand site,Transmission Link from PL_WadiAIr2IR_ROUIrbid to IR_ROU_Irbid,5051.302728205894,544.0
IR_ROU_Irbid,POINT (228861.1676088313 1218829.385948326),Demand site,Transmission Link from Withdrawal Node 3 to IR_ROU_Irbid,3491.0066352902877,544.0
IR_ROU_Irbid,POINT (228861.1676088313 1218829.385948326),Demand site,Transmission Link from To Irbid_Yarmoukwells to IR_ROU_Irbid,4448.402407448018,544.0
IR_Ramtha,POINT (244254.5477445811 1223264.771548897),Demand site,Transmission Link from PL_Ramtha2IR_Ramtha to IR_Ramtha,4246.333651548868,500.0
JA_Agriculture,POINT (222062.4615880816 1181177.133863665),Demand site,Transmission Link from GW_AmmanZarqa_A1A6 to JA_Agriculture,7144.672177451933,734.0
JA_ROU Jerash,POINT (230794.3535932977 1190414.310904057),Demand site,Transmission Link from PS_Jerash2JA_ROUJerash to JA_ROU Jerash,2490.364748090313,853.0
JERASH_Industry,POINT (236577.1142095328 1182221.056159077),Demand site,Transmission Link from GW_AmmanZarqa_Kurnub to JERASH_Industry,8906.94182026931,481.0
KARAK_Ind_Potash,POINT (188731.2642419284 1074170.519217403),Demand site,Transmission Link from GW_DeadSea_Alluvium to KARAK_Ind_Potash,11422.918157146258,-397.0
KARAK_Ind_Potash,POINT (188731.2642419284 1074170.519217403),Demand site,Transmission Link from SGhorWadis2KA_Industry to KARAK_Ind_Potash,7329.891151771846,-397.0
KARAK_Industry,POINT (248487.7217290198 1061181.068634681),Demand site,Transmission Link from GW_DeadSea_A7B2 to KARAK_Industry,24351.410530970636,852.0
KA_Agri HL,POINT (214374.4732506229 1075201.191092514),Demand site,Transmission Link from WWTP_Karak to KA_Agri HL,7397.527827094869,733.0
KA_Agri HL,POINT (214374.4732506229 1075201.191092514),Demand site,Transmission Link from GW_DeadSea_A7B2 to KA_Agri HL,26412.847196232367,733.0
KA_AgriJV,POINT (195118.4878163222 1076153.3302295),Demand site,Transmission Link from GW_DeadSea_Alluvium to KA_AgriJV,10497.486513039103,-331.0
