index,geometry,pipeline,pl_length_m,index_right,point,type,elevation_m,segment_length_m
0,"LINESTRING (299202.6578149869 1182472.517535737, 298053.4310026296 1182833.892921859)",PL_Aqeb_Irbid,76193.92997818305,3,WF_Aqeb Inflow,Tributary inflow,799.0,1204.705124059835
1,"LINESTRING (298053.4310026296 1182833.892921859, 296585.8421868574 1183253.510161218)",PL_Aqeb_Irbid,76193.92997818305,3,WF_Aqeb Inflow,Tributary inflow,799.0,1526.3995413217951
1,"LINESTRING (298053.4310026296 1182833.892921859, 296585.8421868574 1183253.510161218)",PL_Aqeb_Irbid,76193.92997818305,129,PS_NorthBadia Outflow,Diversion Outflow,803.0,1526.3995413217951
2,"LINESTRING (296585.8421868574 1183253.510161218, 295948.1526134762 1183434.092964079, 295115.8576994641 1183800.866324163, 289916.7933366007 1185465.808474869, 287193.53973264 1186460.866250263, 283270.8659595831 1187994.326350888, 274893.6580683835 1191569.216975255)",PL_Aqeb_Irbid,76193.92997818305,129,PS_NorthBadia Outflow,Diversion Outflow,803.0,23250.6454843931
2,"LINESTRING (296585.8421868574 1183253.510161218, 295948.1526134762 1183434.092964079, 295115.8576994641 1183800.866324163, 289916.7933366007 1185465.808474869, 287193.53973264 1186460.866250263, 283270.8659595831 1187994.326350888, 274893.6580683835 1191569.216975255)",PL_Aqeb_Irbid,76193.92997818305,1,PL_KhawZaatari Inflow,Tributary inflow,660.0,23250.6454843931
3,"LINESTRING (274893.6580683835 1191569.216975255, 273379.0063690066 1192125.832366767)",PL_Aqeb_Irbid,76193.92997818305,1,PL_KhawZaatari Inflow,Tributary inflow,660.0,1613.6884657496366
3,"LINESTRING (274893.6580683835 1191569.216975255, 273379.0063690066 1192125.832366767)",PL_Aqeb_Irbid,76193.92997818305,125,PL_ZatariKhaw Outflow,Diversion Outflow,657.0,1613.6884657496366
4,"LINESTRING (273379.0063690066 1192125.832366767, 272383.8595700681 1192550.420413025)",PL_Aqeb_Irbid,76193.92997818305,125,PL_ZatariKhaw Outflow,Diversion Outflow,657.0,1081.939074283905
4,"LINESTRING (273379.0063690066 1192125.832366767, 272383.8595700681 1192550.420413025)",PL_Aqeb_Irbid,76193.92997818305,0,Corridor,Tributary inflow,664.0,1081.939074283905
5,"LINESTRING (272383.8595700681 1192550.420413025, 271153.2083147835 1193083.641744502)",PL_Aqeb_Irbid,76193.92997818305,0,Corridor,Tributary inflow,664.0,1341.2037505448288
5,"LINESTRING (272383.8595700681 1192550.420413025, 271153.2083147835 1193083.641744502)",PL_Aqeb_Irbid,76193.92997818305,153,PL_AqebIrbidZatari2MF_ROU,River supply,667.0,1341.2037505448288
6,"LINESTRING (271153.2083147835 1193083.641744502, 264900.5136816244 1195429.351991968, 259537.013958294 1197727.980031601, 256246.1377371024 1199393.791635282)",PL_Aqeb_Irbid,76193.92997818305,153,PL_AqebIrbidZatari2MF_ROU,River supply,667.0,16201.990182170413
6,"LINESTRING (271153.2083147835 1193083.641744502, 264900.5136816244 1195429.351991968, 259537.013958294 1197727.980031601, 256246.1377371024 1199393.791635282)",PL_Aqeb_Irbid,76193.92997818305,152,PL_AqebIrbidUmLulu2MF_ROU,River supply,769.0,16201.990182170413
7,"LINESTRING (256246.1377371024 1199393.791635282, 254593.1619577492 1200110.571518236)",PL_Aqeb_Irbid,76193.92997818305,152,PL_AqebIrbidUmLulu2MF_ROU,River supply,769.0,1801.694293640303
7,"LINESTRING (256246.1377371024 1199393.791635282, 254593.1619577492 1200110.571518236)",PL_Aqeb_Irbid,76193.92997818305,151,PL_AqebIrbidBwaidah2ROUMF,River supply,767.0,1801.694293640303
8,"LINESTRING (254593.1619577492 1200110.571518236, 254044.3042715168 1200363.253805452, 253190.094973516 1200676.638487985)",PL_Aqeb_Irbid,76193.92997818305,151,PL_AqebIrbidBwaidah2ROUMF,River supply,767.0,1514.1103696359673
