lon,lat,name,type
-8.12489,30.69973,ConduiteEl Guerdane,pipeline
-8.24548,30.65062,ConduiteEl Guerdane,pipeline
-8.3968,30.55802,ConduiteEl Guerdane,pipeline
-8.59255,30.44799,ConduiteEl Guerdane,pipeline
-8.85033,30.38495,ConduiteEl Guerdane,pipeline
-8.94976,30.27628,ConduiteEl Guerdane,pipeline
,,ConduiteEl Guerdane,pipeline
-9.47543,29.81078,Youssef ben Tachfine Canal,pipeline
-9.4749,29.83541,Youssef ben Tachfine Canal,pipeline
-9.47261,29.87945,Youssef ben Tachfine Canal,pipeline
-9.46853,29.94374,Youssef ben Tachfine Canal,pipeline
-9.46483,29.99332,Youssef ben Tachfine Canal,pipeline
-9.46485,30.01408,Youssef ben Tachfine Canal,pipeline
-9.46271,30.03363,Youssef ben Tachfine Canal,pipeline
,,Youssef ben Tachfine Canal,pipeline
